time,probability
10.858667,0.000000
10.880000,0.000000
10.901333,0.000000
10.922667,0.000000
10.944000,0.000000
10.965333,0.000000
10.986667,0.028566
11.008000,0.278037
11.029333,0.000000
11.050667,0.000000
11.072000,0.000000
11.093333,0.000000
11.114667,0.000000
11.136000,0.000000
11.157333,0.000000
11.178667,0.000000
11.200000,0.000000
11.221333,0.000000
11.242667,0.341108
11.264000,0.019841
11.285333,0.000000
11.306667,0.000000
11.328000,0.000000
11.349333,0.000000
11.370667,0.000000
11.392000,0.000000
11.413333,0.000000
11.434667,0.000000
11.456000,0.000000
11.477333,0.000034
11.498667,0.965069
11.520000,0.000335
11.541333,0.000000
11.562667,0.000000
11.584000,0.000000
11.605333,0.000000
11.626667,0.000000
11.648000,0.000000
11.669333,0.000000
11.690667,0.000000
11.712000,0.000000
11.733333,0.003866
11.754667,0.646905
11.776000,0.000000
11.797333,0.000000
11.818667,0.000000
11.840000,0.000000
11.861333,0.000000
11.882667,0.000000
11.904000,0.000000
11.925333,0.000000
11.946667,0.000000
11.968000,0.000000
11.989333,0.102740
12.010667,0.102740
12.032000,0.000000
12.053333,0.000000
12.074667,0.000000
12.096000,0.000000
12.117333,0.000000
12.138667,0.000000
12.160000,0.000000
12.181333,0.000000
12.202667,0.000000
12.224000,0.000001
12.245333,0.646905
12.266667,0.003866
12.288000,0.000000
12.309333,0.000000
12.330667,0.000000
12.352000,0.000000
12.373333,0.000000
12.394667,0.000000
12.416000,0.000000
12.437333,0.000000
12.458667,0.000000
12.480000,0.000335
12.501333,0.965069
12.522667,0.000000
12.544000,0.000000
12.565333,0.000000
12.586667,0.000000
12.608000,0.000000
12.629333,0.000000
12.650667,0.000000
12.672000,0.000000
12.693333,0.000000
12.714667,0.000000
12.736000,0.019841
12.757333,0.341108
12.778667,0.000000
12.800000,0.000000
12.821333,0.000000
12.842667,0.000000
12.864000,0.000000
12.885333,0.000000
12.906667,0.000000
12.928000,0.000000
12.949333,0.000000
12.970667,0.000000
12.992000,0.278037
13.013333,0.028566
13.034667,0.000000
13.056000,0.000000
13.077333,0.000000
13.098667,0.000000
13.120000,0.000000
13.141333,0.000000
13.162667,0.000000
13.184000,0.000000
13.205333,0.000000
13.226667,0.000019
13.248000,0.923116
13.269333,0.000567
13.290667,0.000000
13.312000,0.000000
13.333333,0.000000
13.354667,0.000000
13.376000,0.000000
13.397333,0.000000
13.418667,0.000000
13.440000,0.000000
13.461333,0.000000
13.482667,0.002457
13.504000,0.726149
13.525333,0.000000
13.546667,0.000000
13.568000,0.000000
13.589333,0.000000
13.610667,0.000000
13.632000,0.000000
13.653333,0.000000
13.674667,0.000000
13.696000,0.000000
13.717333,0.000000
13.738667,0.076621
13.760000,0.135335
13.781333,0.000000
13.802667,0.000000
13.824000,0.000000
13.845333,0.000000
13.866667,0.000000
13.888000,0.000000
13.909333,0.000000
13.930667,0.000000
13.952000,0.000000
13.973333,0.000001
13.994667,0.566154
14.016000,0.005976
14.037333,0.000000
14.058667,0.000000
14.080000,0.000000
14.101333,0.000000
14.122667,0.000000
14.144000,0.000000
14.165333,0.000000
14.186667,0.000000
14.208000,0.000000
14.229333,0.000195
14.250667,0.991151
14.272000,0.000000
14.293333,0.000000
14.314667,0.000000
14.336000,0.000000
14.357333,0.000000
14.378667,0.000000
14.400000,0.000000
14.421333,0.000000
14.442667,0.000000
14.464000,0.000000
14.485333,0.013538
14.506667,0.411112
14.528000,0.000000
14.549333,0.000000
14.570667,0.000000
14.592000,0.000000
14.613333,0.000000
14.634667,0.000000
14.656000,0.000000
14.677333,0.000000
14.698667,0.000000
14.720000,0.000000
14.741333,0.222635
14.762667,0.040401
14.784000,0.000000
14.805333,0.000000
14.826667,0.000000
14.848000,0.000000
14.869333,0.000000
14.890667,0.000000
14.912000,0.000000
14.933333,0.000000
14.954667,0.000000
14.976000,0.000010
14.997333,0.867428
15.018667,0.000941
15.040000,0.000000
15.061333,0.000000
15.082667,0.000000
15.104000,0.000000
15.125333,0.000000
15.146667,0.000000
15.168000,0.000000
15.189333,0.000000
15.210667,0.000000
15.232000,0.001534
15.253333,0.800737
